word,count,sqrt_count,tf_score,char_freq_score
refer,5424,73.64781055808787,8.381129178173452,5.734853999838227
theme,641,25.317977802344327,2.881188739809362,20.40766804173744
which,99283,315.0920500425233,35.857510962107895,27.881582140257212
three,25278,158.99056575784616,18.093144380393998,26.724904958343444
songs,2466,49.658836071740545,5.651181166162868,31.998705815740514
daily,953,30.870698080866262,3.513088936052805,64.63641510960123
under,36966,192.26544151250894,21.879829007868977,67.15198576397314
image,85202,291.8938163099726,33.217549337388334,83.16751597508694
being,67282,259.38774065094134,29.518354247821588,63.98932297985925
there,167419,409.1686693773119,46.5634408915364,26.724904958343444
write,15328,123.80630032433729,14.089170991330402,71.25293213621289
using,105189,324.328537134801,36.90862423874569,57.35662865000404
blank,25157,158.60958356921563,18.049788564202053,49.23562242174229
other,247690,497.6846391039209,56.63656826610885,72.57138235056216
media,20865,144.44722219551335,16.438110236747175,85.6749979778371
after,162029,402.52825987748986,45.80776153878656,78.07166545336892
thank,699003,836.063992766104,95.1441770161717,50.48127477149557
pages,217833,466.72582958306475,53.1134522382113,79.08274690609075
cases,42150,205.3046516764781,23.363692600519613,63.49591523093101
third,15087,122.82914963476708,13.977971132247424,49.91506915797137
album,9695,98.46319109189992,11.205122291931666,55.496238776995874
think,20262,142.34465216508838,16.19883752928157,43.541211680012935
march,161405,401.75241131821474,45.71946988491783,52.39828520585617
first,57566,239.92915621074485,27.303965135886568,55.884494054841056
early,7571,87.01149349367589,9.901917808963447,79.9320553263771
rated,11194,105.80170130957252,12.040245585395352,81.549785650732
leave,32828,181.18498834064593,20.618872182644154,38.44536115829491
would,714520,845.2928486625212,96.19442186185677,48.645150853352746
moved,8154,90.29950165975447,10.276093510453698,61.150206260616336
cross,2264,47.58150901348127,5.41478111178713,37.385747795842434
place,71294,267.0093631317074,30.38569574887258,74.8847367143897
could,32017,178.932948335403,20.36258977512481,51.37911510151257
start,19153,138.3943640470955,15.7492942942958,52.171802960446485
sense,2236,47.286361670147556,5.381193310706152,11.914583838874059
input,572,23.916521486202797,2.7217028523927214,52.972579471002184
quite,3278,57.253820833198546,6.515491291741312,70.12052090916444
right,15563,124.7517534946904,14.19676366913843,47.40758715522122
based,7322,85.56868586112562,9.737726137058674,80.26369004286984
about,606041,778.4863518392599,88.59183496111828,69.44916282455713
forum,3804,61.6765757804371,7.018801305376759,49.648143654452795
until,10784,103.84603988597736,11.817691094016496,55.981557874302354
fault,546,23.366642891095847,2.6591266060253034,58.2625576316428
doing,54103,232.60051590656457,26.46996503969555,55.18887001536843
